City,Year,Data_Type,Mode,Share,Source
Alameda,2009,Residence,Bicycle,0.012,ACS_B08301_5YR
Alameda,2009,Residence,Carpool,0.098,ACS_B08301_5YR
Alameda,2009,Residence,Drive Alone,0.641,ACS_B08301_5YR
Alameda,2009,Residence,Other,0.012,ACS_B08301_5YR
Alameda,2009,Residence,Transit,0.142,ACS_B08301_5YR
Alameda,2009,Residence,Walk,0.037,ACS_B08301_5YR
Alameda,2009,Residence,Work From Home,0.057,ACS_B08301_5YR
Albany,2009,Residence,Bicycle,0.04,ACS_B08301_5YR
Albany,2009,Residence,Carpool,0.091,ACS_B08301_5YR
Albany,2009,Residence,Drive Alone,0.533,ACS_B08301_5YR
Albany,2009,Residence,Other,0.008,ACS_B08301_5YR
Albany,2009,Residence,Transit,0.22,ACS_B08301_5YR
Albany,2009,Residence,Walk,0.048,ACS_B08301_5YR
Albany,2009,Residence,Work From Home,0.059,ACS_B08301_5YR
American Canyon,2009,Residence,Bicycle,0,ACS_B08301_5YR
American Canyon,2009,Residence,Carpool,0.148,ACS_B08301_5YR
American Canyon,2009,Residence,Drive Alone,0.782,ACS_B08301_5YR
American Canyon,2009,Residence,Other,0.007,ACS_B08301_5YR
American Canyon,2009,Residence,Transit,0.027,ACS_B08301_5YR
American Canyon,2009,Residence,Walk,0.011,ACS_B08301_5YR
American Canyon,2009,Residence,Work From Home,0.026,ACS_B08301_5YR
Antioch,2009,Residence,Bicycle,0.003,ACS_B08301_5YR
Antioch,2009,Residence,Carpool,0.166,ACS_B08301_5YR
Antioch,2009,Residence,Drive Alone,0.723,ACS_B08301_5YR
Antioch,2009,Residence,Other,0.014,ACS_B08301_5YR
Antioch,2009,Residence,Transit,0.051,ACS_B08301_5YR
Antioch,2009,Residence,Walk,0.013,ACS_B08301_5YR
Antioch,2009,Residence,Work From Home,0.031,ACS_B08301_5YR
Atherton,2009,Residence,Bicycle,0.009,ACS_B08301_5YR
Atherton,2009,Residence,Carpool,0.03,ACS_B08301_5YR
Atherton,2009,Residence,Drive Alone,0.776,ACS_B08301_5YR
Atherton,2009,Residence,Other,0.007,ACS_B08301_5YR
Atherton,2009,Residence,Transit,0.004,ACS_B08301_5YR
Atherton,2009,Residence,Walk,0.049,ACS_B08301_5YR
Atherton,2009,Residence,Work From Home,0.125,ACS_B08301_5YR
Belmont,2009,Residence,Bicycle,0.002,ACS_B08301_5YR
Belmont,2009,Residence,Carpool,0.081,ACS_B08301_5YR
Belmont,2009,Residence,Drive Alone,0.755,ACS_B08301_5YR
Belmont,2009,Residence,Other,0.017,ACS_B08301_5YR
Belmont,2009,Residence,Transit,0.05,ACS_B08301_5YR
Belmont,2009,Residence,Walk,0.028,ACS_B08301_5YR
Belmont,2009,Residence,Work From Home,0.067,ACS_B08301_5YR
Belvedere,2009,Residence,Bicycle,0,ACS_B08301_5YR
Belvedere,2009,Residence,Carpool,0.055,ACS_B08301_5YR
Belvedere,2009,Residence,Drive Alone,0.626,ACS_B08301_5YR
Belvedere,2009,Residence,Other,0.012,ACS_B08301_5YR
Belvedere,2009,Residence,Transit,0.134,ACS_B08301_5YR
Belvedere,2009,Residence,Walk,0.069,ACS_B08301_5YR
Belvedere,2009,Residence,Work From Home,0.103,ACS_B08301_5YR
Benicia,2009,Residence,Bicycle,0.007,ACS_B08301_5YR
Benicia,2009,Residence,Carpool,0.085,ACS_B08301_5YR
Benicia,2009,Residence,Drive Alone,0.799,ACS_B08301_5YR
Benicia,2009,Residence,Other,0.011,ACS_B08301_5YR
Benicia,2009,Residence,Transit,0.038,ACS_B08301_5YR
Benicia,2009,Residence,Walk,0.011,ACS_B08301_5YR
Benicia,2009,Residence,Work From Home,0.048,ACS_B08301_5YR
Berkeley,2009,Residence,Bicycle,0.065,ACS_B08301_5YR
Berkeley,2009,Residence,Carpool,0.068,ACS_B08301_5YR
Berkeley,2009,Residence,Drive Alone,0.417,ACS_B08301_5YR
Berkeley,2009,Residence,Other,0.015,ACS_B08301_5YR
Berkeley,2009,Residence,Transit,0.179,ACS_B08301_5YR
Berkeley,2009,Residence,Walk,0.167,ACS_B08301_5YR
Berkeley,2009,Residence,Work From Home,0.089,ACS_B08301_5YR
Brentwood,2009,Residence,Bicycle,0.001,ACS_B08301_5YR
Brentwood,2009,Residence,Carpool,0.107,ACS_B08301_5YR
Brentwood,2009,Residence,Drive Alone,0.797,ACS_B08301_5YR
Brentwood,2009,Residence,Other,0.014,ACS_B08301_5YR
Brentwood,2009,Residence,Transit,0.027,ACS_B08301_5YR
Brentwood,2009,Residence,Walk,0.014,ACS_B08301_5YR
Brentwood,2009,Residence,Work From Home,0.04,ACS_B08301_5YR
Brisbane,2009,Residence,Bicycle,0.016,ACS_B08301_5YR
Brisbane,2009,Residence,Carpool,0.105,ACS_B08301_5YR
Brisbane,2009,Residence,Drive Alone,0.694,ACS_B08301_5YR
Brisbane,2009,Residence,Other,0.016,ACS_B08301_5YR
Brisbane,2009,Residence,Transit,0.089,ACS_B08301_5YR
Brisbane,2009,Residence,Walk,0.05,ACS_B08301_5YR
Brisbane,2009,Residence,Work From Home,0.03,ACS_B08301_5YR
Burlingame,2009,Residence,Bicycle,0.011,ACS_B08301_5YR
Burlingame,2009,Residence,Carpool,0.061,ACS_B08301_5YR
Burlingame,2009,Residence,Drive Alone,0.725,ACS_B08301_5YR
Burlingame,2009,Residence,Other,0.008,ACS_B08301_5YR
Burlingame,2009,Residence,Transit,0.122,ACS_B08301_5YR
Burlingame,2009,Residence,Walk,0.024,ACS_B08301_5YR
Burlingame,2009,Residence,Work From Home,0.048,ACS_B08301_5YR
Calistoga,2009,Residence,Bicycle,0.023,ACS_B08301_5YR
Calistoga,2009,Residence,Carpool,0.153,ACS_B08301_5YR
Calistoga,2009,Residence,Drive Alone,0.619,ACS_B08301_5YR
Calistoga,2009,Residence,Other,0.024,ACS_B08301_5YR
Calistoga,2009,Residence,Transit,0.006,ACS_B08301_5YR
Calistoga,2009,Residence,Walk,0.116,ACS_B08301_5YR
Calistoga,2009,Residence,Work From Home,0.059,ACS_B08301_5YR
Campbell,2009,Residence,Bicycle,0.009,ACS_B08301_5YR
Campbell,2009,Residence,Carpool,0.053,ACS_B08301_5YR
Campbell,2009,Residence,Drive Alone,0.849,ACS_B08301_5YR
Campbell,2009,Residence,Other,0.008,ACS_B08301_5YR
Campbell,2009,Residence,Transit,0.026,ACS_B08301_5YR
Campbell,2009,Residence,Walk,0.019,ACS_B08301_5YR
Campbell,2009,Residence,Work From Home,0.036,ACS_B08301_5YR
Clayton,2009,Residence,Bicycle,0,ACS_B08301_5YR
Clayton,2009,Residence,Carpool,0.068,ACS_B08301_5YR
Clayton,2009,Residence,Drive Alone,0.783,ACS_B08301_5YR
Clayton,2009,Residence,Other,0.007,ACS_B08301_5YR
Clayton,2009,Residence,Transit,0.072,ACS_B08301_5YR
Clayton,2009,Residence,Walk,0.002,ACS_B08301_5YR
Clayton,2009,Residence,Work From Home,0.068,ACS_B08301_5YR
Cloverdale,2009,Residence,Bicycle,0,ACS_B08301_5YR
Cloverdale,2009,Residence,Carpool,0.082,ACS_B08301_5YR
Cloverdale,2009,Residence,Drive Alone,0.809,ACS_B08301_5YR
Cloverdale,2009,Residence,Other,0.018,ACS_B08301_5YR
Cloverdale,2009,Residence,Transit,0.004,ACS_B08301_5YR
Cloverdale,2009,Residence,Walk,0.046,ACS_B08301_5YR
Cloverdale,2009,Residence,Work From Home,0.041,ACS_B08301_5YR
Colma,2009,Residence,Bicycle,0,ACS_B08301_5YR
Colma,2009,Residence,Carpool,0.159,ACS_B08301_5YR
Colma,2009,Residence,Drive Alone,0.531,ACS_B08301_5YR
Colma,2009,Residence,Other,0.015,ACS_B08301_5YR
Colma,2009,Residence,Transit,0.218,ACS_B08301_5YR
Colma,2009,Residence,Walk,0.048,ACS_B08301_5YR
Colma,2009,Residence,Work From Home,0.03,ACS_B08301_5YR
Concord,2009,Residence,Bicycle,0.008,ACS_B08301_5YR
Concord,2009,Residence,Carpool,0.128,ACS_B08301_5YR
Concord,2009,Residence,Drive Alone,0.69,ACS_B08301_5YR
Concord,2009,Residence,Other,0.011,ACS_B08301_5YR
Concord,2009,Residence,Transit,0.096,ACS_B08301_5YR
Concord,2009,Residence,Walk,0.028,ACS_B08301_5YR
Concord,2009,Residence,Work From Home,0.038,ACS_B08301_5YR
Corte Madera,2009,Residence,Bicycle,0.033,ACS_B08301_5YR
Corte Madera,2009,Residence,Carpool,0.109,ACS_B08301_5YR
Corte Madera,2009,Residence,Drive Alone,0.637,ACS_B08301_5YR
Corte Madera,2009,Residence,Other,0.006,ACS_B08301_5YR
Corte Madera,2009,Residence,Transit,0.129,ACS_B08301_5YR
Corte Madera,2009,Residence,Walk,0.023,ACS_B08301_5YR
Corte Madera,2009,Residence,Work From Home,0.063,ACS_B08301_5YR
Cotati,2009,Residence,Bicycle,0.022,ACS_B08301_5YR
Cotati,2009,Residence,Carpool,0.091,ACS_B08301_5YR
Cotati,2009,Residence,Drive Alone,0.827,ACS_B08301_5YR
Cotati,2009,Residence,Other,0.013,ACS_B08301_5YR
Cotati,2009,Residence,Transit,0.014,ACS_B08301_5YR
Cotati,2009,Residence,Walk,0.006,ACS_B08301_5YR
Cotati,2009,Residence,Work From Home,0.028,ACS_B08301_5YR
Cupertino,2009,Residence,Bicycle,0.008,ACS_B08301_5YR
Cupertino,2009,Residence,Carpool,0.101,ACS_B08301_5YR
Cupertino,2009,Residence,Drive Alone,0.787,ACS_B08301_5YR
Cupertino,2009,Residence,Other,0.009,ACS_B08301_5YR
Cupertino,2009,Residence,Transit,0.021,ACS_B08301_5YR
Cupertino,2009,Residence,Walk,0.019,ACS_B08301_5YR
Cupertino,2009,Residence,Work From Home,0.056,ACS_B08301_5YR
Daly City,2009,Residence,Bicycle,0.001,ACS_B08301_5YR
Daly City,2009,Residence,Carpool,0.171,ACS_B08301_5YR
Daly City,2009,Residence,Drive Alone,0.586,ACS_B08301_5YR
Daly City,2009,Residence,Other,0.017,ACS_B08301_5YR
Daly City,2009,Residence,Transit,0.189,ACS_B08301_5YR
Daly City,2009,Residence,Walk,0.017,ACS_B08301_5YR
Daly City,2009,Residence,Work From Home,0.019,ACS_B08301_5YR
Danville,2009,Residence,Bicycle,0.004,ACS_B08301_5YR
Danville,2009,Residence,Carpool,0.062,ACS_B08301_5YR
Danville,2009,Residence,Drive Alone,0.761,ACS_B08301_5YR
Danville,2009,Residence,Other,0.006,ACS_B08301_5YR
Danville,2009,Residence,Transit,0.053,ACS_B08301_5YR
Danville,2009,Residence,Walk,0.014,ACS_B08301_5YR
Danville,2009,Residence,Work From Home,0.101,ACS_B08301_5YR
Dixon,2009,Residence,Bicycle,0.008,ACS_B08301_5YR
Dixon,2009,Residence,Carpool,0.157,ACS_B08301_5YR
Dixon,2009,Residence,Drive Alone,0.774,ACS_B08301_5YR
Dixon,2009,Residence,Other,0.023,ACS_B08301_5YR
Dixon,2009,Residence,Transit,0.002,ACS_B08301_5YR
Dixon,2009,Residence,Walk,0.02,ACS_B08301_5YR
Dixon,2009,Residence,Work From Home,0.016,ACS_B08301_5YR
Dublin,2009,Residence,Bicycle,0.004,ACS_B08301_5YR
Dublin,2009,Residence,Carpool,0.089,ACS_B08301_5YR
Dublin,2009,Residence,Drive Alone,0.764,ACS_B08301_5YR
Dublin,2009,Residence,Other,0.013,ACS_B08301_5YR
Dublin,2009,Residence,Transit,0.073,ACS_B08301_5YR
Dublin,2009,Residence,Walk,0.012,ACS_B08301_5YR
Dublin,2009,Residence,Work From Home,0.044,ACS_B08301_5YR
East Palo Alto,2009,Residence,Bicycle,0.033,ACS_B08301_5YR
East Palo Alto,2009,Residence,Carpool,0.115,ACS_B08301_5YR
East Palo Alto,2009,Residence,Drive Alone,0.705,ACS_B08301_5YR
East Palo Alto,2009,Residence,Other,0.025,ACS_B08301_5YR
East Palo Alto,2009,Residence,Transit,0.056,ACS_B08301_5YR
East Palo Alto,2009,Residence,Walk,0.047,ACS_B08301_5YR
East Palo Alto,2009,Residence,Work From Home,0.019,ACS_B08301_5YR
El Cerrito,2009,Residence,Bicycle,0.015,ACS_B08301_5YR
El Cerrito,2009,Residence,Carpool,0.092,ACS_B08301_5YR
El Cerrito,2009,Residence,Drive Alone,0.575,ACS_B08301_5YR
El Cerrito,2009,Residence,Other,0.009,ACS_B08301_5YR
El Cerrito,2009,Residence,Transit,0.219,ACS_B08301_5YR
El Cerrito,2009,Residence,Walk,0.018,ACS_B08301_5YR
El Cerrito,2009,Residence,Work From Home,0.073,ACS_B08301_5YR
Emeryville,2009,Residence,Bicycle,0.003,ACS_B08301_5YR
Emeryville,2009,Residence,Carpool,0.099,ACS_B08301_5YR
Emeryville,2009,Residence,Drive Alone,0.552,ACS_B08301_5YR
Emeryville,2009,Residence,Other,0.011,ACS_B08301_5YR
Emeryville,2009,Residence,Transit,0.153,ACS_B08301_5YR
Emeryville,2009,Residence,Walk,0.101,ACS_B08301_5YR
Emeryville,2009,Residence,Work From Home,0.08,ACS_B08301_5YR
Fairfax,2009,Residence,Bicycle,0.016,ACS_B08301_5YR
Fairfax,2009,Residence,Carpool,0.032,ACS_B08301_5YR
Fairfax,2009,Residence,Drive Alone,0.682,ACS_B08301_5YR
Fairfax,2009,Residence,Other,0.035,ACS_B08301_5YR
Fairfax,2009,Residence,Transit,0.097,ACS_B08301_5YR
Fairfax,2009,Residence,Walk,0.034,ACS_B08301_5YR
Fairfax,2009,Residence,Work From Home,0.103,ACS_B08301_5YR
Fairfield,2009,Residence,Bicycle,0.003,ACS_B08301_5YR
Fairfield,2009,Residence,Carpool,0.167,ACS_B08301_5YR
Fairfield,2009,Residence,Drive Alone,0.756,ACS_B08301_5YR
Fairfield,2009,Residence,Other,0.008,ACS_B08301_5YR
Fairfield,2009,Residence,Transit,0.019,ACS_B08301_5YR
Fairfield,2009,Residence,Walk,0.016,ACS_B08301_5YR
Fairfield,2009,Residence,Work From Home,0.031,ACS_B08301_5YR
Foster City,2009,Residence,Bicycle,0.009,ACS_B08301_5YR
Foster City,2009,Residence,Carpool,0.092,ACS_B08301_5YR
Foster City,2009,Residence,Drive Alone,0.771,ACS_B08301_5YR
Foster City,2009,Residence,Other,0.006,ACS_B08301_5YR
Foster City,2009,Residence,Transit,0.034,ACS_B08301_5YR
Foster City,2009,Residence,Walk,0.021,ACS_B08301_5YR
Foster City,2009,Residence,Work From Home,0.067,ACS_B08301_5YR
Fremont,2009,Residence,Bicycle,0.004,ACS_B08301_5YR
Fremont,2009,Residence,Carpool,0.109,ACS_B08301_5YR
Fremont,2009,Residence,Drive Alone,0.754,ACS_B08301_5YR
Fremont,2009,Residence,Other,0.016,ACS_B08301_5YR
Fremont,2009,Residence,Transit,0.071,ACS_B08301_5YR
Fremont,2009,Residence,Walk,0.011,ACS_B08301_5YR
Fremont,2009,Residence,Work From Home,0.036,ACS_B08301_5YR
Gilroy,2009,Residence,Bicycle,0.005,ACS_B08301_5YR
Gilroy,2009,Residence,Carpool,0.173,ACS_B08301_5YR
Gilroy,2009,Residence,Drive Alone,0.706,ACS_B08301_5YR
