City,Year,Data_Type,Mode,Avg_Commute_Time,Source1,Source2
Alameda,2018,Residence,Overall,31.42,B08013_ACS18_5YR,B08301_ACS18_5YR
Albany,2018,Residence,Overall,28.76,B08013_ACS18_5YR,B08301_ACS18_5YR
American Canyon,2018,Residence,Overall,34.61,B08013_ACS18_5YR,B08301_ACS18_5YR
Antioch,2018,Residence,Overall,43.61,B08013_ACS18_5YR,B08301_ACS18_5YR
Atherton,2018,Residence,Overall,19.86,B08013_ACS18_5YR,B08301_ACS18_5YR
Belmont,2018,Residence,Overall,28.22,B08013_ACS18_5YR,B08301_ACS18_5YR
Belvedere,2018,Residence,Overall,34.19,B08013_ACS18_5YR,B08301_ACS18_5YR
Benicia,2018,Residence,Overall,32.54,B08013_ACS18_5YR,B08301_ACS18_5YR
Berkeley,2018,Residence,Overall,26.45,B08013_ACS18_5YR,B08301_ACS18_5YR
Brentwood,2018,Residence,Overall,42.94,B08013_ACS18_5YR,B08301_ACS18_5YR
Brisbane,2018,Residence,Overall,31.88,B08013_ACS18_5YR,B08301_ACS18_5YR
Burlingame,2018,Residence,Overall,27.98,B08013_ACS18_5YR,B08301_ACS18_5YR
Calistoga,2018,Residence,Overall,17.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Campbell,2018,Residence,Overall,25.28,B08013_ACS18_5YR,B08301_ACS18_5YR
Clayton,2018,Residence,Overall,37.23,B08013_ACS18_5YR,B08301_ACS18_5YR
Cloverdale,2018,Residence,Overall,26.49,B08013_ACS18_5YR,B08301_ACS18_5YR
Colma,2018,Residence,Overall,27.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Concord,2018,Residence,Overall,33.29,B08013_ACS18_5YR,B08301_ACS18_5YR
Corte Madera,2018,Residence,Overall,31.74,B08013_ACS18_5YR,B08301_ACS18_5YR
Cotati,2018,Residence,Overall,26.77,B08013_ACS18_5YR,B08301_ACS18_5YR
Cupertino,2018,Residence,Overall,26.65,B08013_ACS18_5YR,B08301_ACS18_5YR
Daly City,2018,Residence,Overall,29.93,B08013_ACS18_5YR,B08301_ACS18_5YR
Danville,2018,Residence,Overall,29.63,B08013_ACS18_5YR,B08301_ACS18_5YR
Dixon,2018,Residence,Overall,28.64,B08013_ACS18_5YR,B08301_ACS18_5YR
Dublin,2018,Residence,Overall,37.03,B08013_ACS18_5YR,B08301_ACS18_5YR
East Palo Alto,2018,Residence,Overall,23.44,B08013_ACS18_5YR,B08301_ACS18_5YR
El Cerrito,2018,Residence,Overall,30.15,B08013_ACS18_5YR,B08301_ACS18_5YR
Emeryville,2018,Residence,Overall,31.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfax,2018,Residence,Overall,29.74,B08013_ACS18_5YR,B08301_ACS18_5YR
Fairfield,2018,Residence,Overall,30.68,B08013_ACS18_5YR,B08301_ACS18_5YR
Foster City,2018,Residence,Overall,30.69,B08013_ACS18_5YR,B08301_ACS18_5YR
Fremont,2018,Residence,Overall,32.87,B08013_ACS18_5YR,B08301_ACS18_5YR
Gilroy,2018,Residence,Overall,33.85,B08013_ACS18_5YR,B08301_ACS18_5YR
Half Moon Bay,2018,Residence,Overall,27.3,B08013_ACS18_5YR,B08301_ACS18_5YR
Hayward,2018,Residence,Overall,32.12,B08013_ACS18_5YR,B08301_ACS18_5YR
Healdsburg,2018,Residence,Overall,21.48,B08013_ACS18_5YR,B08301_ACS18_5YR
Hercules,2018,Residence,Overall,40.52,B08013_ACS18_5YR,B08301_ACS18_5YR
Hillsborough,2018,Residence,Overall,28.67,B08013_ACS18_5YR,B08301_ACS18_5YR
Lafayette,2018,Residence,Overall,28.95,B08013_ACS18_5YR,B08301_ACS18_5YR
Larkspur,2018,Residence,Overall,26.34,B08013_ACS18_5YR,B08301_ACS18_5YR
Livermore,2018,Residence,Overall,30.86,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos,2018,Residence,Overall,22.08,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Altos Hills,2018,Residence,Overall,23.23,B08013_ACS18_5YR,B08301_ACS18_5YR
Los Gatos,2018,Residence,Overall,27.01,B08013_ACS18_5YR,B08301_ACS18_5YR
Martinez,2018,Residence,Overall,30.04,B08013_ACS18_5YR,B08301_ACS18_5YR
Menlo Park,2018,Residence,Overall,23.54,B08013_ACS18_5YR,B08301_ACS18_5YR
