Objectid,Year,County,City,Medprice,Medprice_Ia,Percentchngprice,Percentchngpriceia,Source
36,2000,Marin County,Sausalito,660000,1135000,0,0,Zillow
37,2000,Marin County,Tiburon,1250000,2148000,0,0,Zillow
38,2000,Napa County,American Canyon,196000,338000,0,0,Zillow
0,2000,Alameda County,Alameda,385000,662000,0,0,Zillow
1,2000,Alameda County,Albany,346000,595000,0,0,Zillow
2,2000,Alameda County,Berkeley,445000,765000,0,0,Zillow
3,2000,Alameda County,Dublin,390000,671000,0,0,Zillow
4,2000,Alameda County,Emeryville,185000,319000,0,0,Zillow
5,2000,Alameda County,Fremont,378000,650000,0,0,Zillow
6,2000,Alameda County,Hayward,263000,452000,0,0,Zillow
7,2000,Alameda County,Livermore,335000,576000,0,0,Zillow
8,2000,Alameda County,Newark,324000,557000,0,0,Zillow
9,2000,Alameda County,Oakland,254000,437000,0,0,Zillow
10,2000,Alameda County,Piedmont,547000,941000,0,0,Zillow
11,2000,Alameda County,Pleasanton,459000,789000,0,0,Zillow
12,2000,Alameda County,San Leandro,264000,455000,0,0,Zillow
13,2000,Alameda County,Union City,332000,570000,0,0,Zillow
14,2000,Contra Costa County,Antioch,352000,605000,0,0,Zillow
15,2000,Contra Costa County,Brentwood,318000,548000,0,0,Zillow
16,2000,Contra Costa County,Concord,160000,276000,0,0,Zillow
17,2000,Contra Costa County,Danville,726000,1249000,0,0,Zillow
18,2000,Contra Costa County,Lafayette,562000,967000,0,0,Zillow
19,2000,Contra Costa County,Martinez,243000,418000,0,0,Zillow
20,2000,Contra Costa County,Oakley,255000,438000,0,0,Zillow
21,2000,Contra Costa County,Pittsburg,278000,478000,0,0,Zillow
22,2000,Contra Costa County,Pleasant Hill,425000,732000,0,0,Zillow
23,2000,Contra Costa County,Richmond,259000,445000,0,0,Zillow
24,2000,Contra Costa County,San Pablo,166000,286000,0,0,Zillow
25,2000,Contra Costa County,San Ramon,468000,804000,0,0,Zillow
26,2000,Contra Costa County,Walnut Creek,395000,679000,0,0,Zillow
27,2000,Marin County,Belvedere,2020000,3472000,0,0,Zillow
28,2000,Marin County,Corte Madera,706000,1214000,0,0,Zillow
29,2000,Marin County,Fairfax,466000,802000,0,0,Zillow
30,2000,Marin County,Larkspur,712000,1225000,0,0,Zillow
31,2000,Marin County,Mill Valley,796000,1368000,0,0,Zillow
32,2000,Marin County,Novato,445000,766000,0,0,Zillow
33,2000,Marin County,Ross,1381000,2374000,0,0,Zillow
34,2000,Marin County,San Anselmo,583000,1002000,0,0,Zillow
35,2000,Marin County,San Rafael,525000,903000,0,0,Zillow
39,2000,Napa County,Calistoga,397000,684000,0,0,Zillow
40,2000,Napa County,Napa,267000,459000,0,0,Zillow
41,2000,Napa County,Yountville,603000,1037000,0,0,Zillow
42,2000,San Francisco County,San Francisco,485000,835000,0,0,Zillow
43,2000,San Mateo County,Atherton,2938000,5051000,0,0,Zillow
44,2000,San Mateo County,Belmont,636000,1094000,0,0,Zillow
45,2000,San Mateo County,Brisbane,438000,753000,0,0,Zillow
46,2000,San Mateo County,Burlingame,758000,1303000,0,0,Zillow
47,2000,San Mateo County,Colma,388000,668000,0,0,Zillow
48,2000,San Mateo County,Daly City,372000,640000,0,0,Zillow
49,2000,San Mateo County,East Palo Alto,356000,612000,0,0,Zillow
50,2000,San Mateo County,Foster City,552000,949000,0,0,Zillow
51,2000,San Mateo County,Half Moon Bay,557000,959000,0,0,Zillow
52,2000,San Mateo County,Hillsborough,1752000,3011000,0,0,Zillow
53,2000,San Mateo County,Menlo Park,741000,1275000,0,0,Zillow
54,2000,San Mateo County,Millbrae,631000,1085000,0,0,Zillow
55,2000,San Mateo County,Pacifica,420000,722000,0,0,Zillow
56,2000,San Mateo County,Portola Valley,1750000,3009000,0,0,Zillow
57,2000,San Mateo County,Redwood City,554000,953000,0,0,Zillow
58,2000,San Mateo County,San Bruno,391000,672000,0,0,Zillow
59,2000,San Mateo County,San Carlos,648000,1113000,0,0,Zillow
60,2000,San Mateo County,San Mateo,507000,872000,0,0,Zillow
61,2000,San Mateo County,South San Francisco,388000,667000,0,0,Zillow
62,2000,San Mateo County,Woodside,1566000,2691000,0,0,Zillow
63,2000,Santa Clara County,Campbell,466000,802000,0,0,Zillow
64,2000,Santa Clara County,Cupertino,742000,1275000,0,0,Zillow
65,2000,Santa Clara County,Gilroy,402000,692000,0,0,Zillow
66,2000,Santa Clara County,Los Altos,1198000,2060000,0,0,Zillow
67,2000,Santa Clara County,Los Altos Hills,1999000,3437000,0,0,Zillow
68,2000,Santa Clara County,Los Gatos,834000,1434000,0,0,Zillow
69,2000,Santa Clara County,Milpitas,407000,699000,0,0,Zillow
70,2000,Santa Clara County,Monte Sereno,1515000,2604000,0,0,Zillow
71,2000,Santa Clara County,Morgan Hill,479000,823000,0,0,Zillow
72,2000,Santa Clara County,Mountain View,556000,956000,0,0,Zillow
73,2000,Santa Clara County,Palo Alto,1068000,1836000,0,0,Zillow
74,2000,Santa Clara County,San Jose,409000,704000,0,0,Zillow
75,2000,Santa Clara County,Santa Clara,441000,758000,0,0,Zillow
